[500/20000] ε=0.9048 | P1胜率=30.0% | 平均步数=141.1 | Q表=85899条 | 耗时=82.6s
[1000/20000] ε=0.8187 | P1胜率=38.5% | 平均步数=98.3 | Q表=137862条 | 耗时=191.3s
[1500/20000] ε=0.7408 | P1胜率=43.8% | 平均步数=74.5 | Q表=174933条 | 耗时=366.3s
[2000/20000] ε=0.6703 | P1胜率=46.5% | 平均步数=55.5 | Q表=203904条 | 耗时=494.6s
[2500/20000] ε=0.6065 | P1胜率=47.8% | 平均步数=42.9 | Q表=226396条 | 耗时=609.2s
[3000/20000] ε=0.5488 | P1胜率=48.1% | 平均步数=38.2 | Q表=246198条 | 耗时=722.7s
[3500/20000] ε=0.4966 | P1胜率=48.5% | 平均步数=34.2 | Q表=262680条 | 耗时=833.4s
[4000/20000] ε=0.4493 | P1胜率=48.9% | 平均步数=30.3 | Q表=277224条 | 耗时=936.7s
[4500/20000] ε=0.4065 | P1胜率=48.6% | 平均步数=27.4 | Q表=290749条 | 耗时=1020.2s
[5000/20000] ε=0.3678 | P1胜率=48.4% | 平均步数=25.5 | Q表=302748条 | 耗时=1091.4s
[5500/20000] ε=0.3328 | P1胜率=48.0% | 平均步数=25.9 | Q表=314378条 | 耗时=1163.0s
[500/20000] ε=0.9048 | P1胜率=31.6% | 平均步数=144.1 | Q表=92444条 | 耗时=120.9s
[1000/20000] ε=0.8187 | P1胜率=37.6% | 平均步数=91.2 | Q表=143710条 | 耗时=281.8s
[1500/20000] ε=0.7408 | P1胜率=42.6% | 平均步数=73.3 | Q表=181871条 | 耗时=437.3s
[2000/20000] ε=0.6703 | P1胜率=44.1% | 平均步数=54.9 | Q表=209443条 | 耗时=603.7s
[2500/20000] ε=0.6065 | P1胜率=44.6% | 平均步数=45.8 | Q表=232067条 | 耗时=776.3s
[500/5000] ε=0.9048 | P1胜率=28.2% | 平均步数=142.4 | Q表=92670条 | 耗时=104.6s
[500/5000] ε=0.9048 | P1胜率=30.8% | 平均步数=139.1 | Q表=93414条 | 耗时=94.4s
[1000/5000] ε=0.8187 | P1胜率=38.6% | 平均步数=96.3 | Q表=145726条 | 耗时=198.0s
[1500/5000] ε=0.7408 | P1胜率=42.0% | 平均步数=69.0 | Q表=182367条 | 耗时=299.4s
[2000/5000] ε=0.6703 | P1胜率=44.1% | 平均步数=52.4 | Q表=210822条 | 耗时=402.4s
[2500/5000] ε=0.6065 | P1胜率=45.1% | 平均步数=44.5 | Q表=233734条 | 耗时=505.1s
[3000/5000] ε=0.5488 | P1胜率=46.3% | 平均步数=37.4 | Q表=252498条 | 耗时=603.2s
[3500/5000] ε=0.4966 | P1胜率=46.6% | 平均步数=34.5 | Q表=269016条 | 耗时=682.4s
[4000/5000] ε=0.4493 | P1胜率=46.9% | 平均步数=32.9 | Q表=284056条 | 耗时=760.0s
[4500/5000] ε=0.4065 | P1胜率=47.2% | 平均步数=28.6 | Q表=297378条 | 耗时=833.0s
[5000/5000] ε=0.3678 | P1胜率=47.2% | 平均步数=28.6 | Q表=309961条 | 耗时=906.3s
[500/10000] ε=0.9048 | P1胜率=29.4% | 平均步数=129.5 | Q表=127748条 | 耗时=91.8s
[1000/10000] ε=0.8187 | P1胜率=36.4% | 平均步数=106.4 | Q表=180294条 | 耗时=189.7s
[1500/10000] ε=0.7408 | P1胜率=42.1% | 平均步数=74.2 | Q表=219119条 | 耗时=292.0s
[2000/10000] ε=0.6703 | P1胜率=44.6% | 平均步数=54.8 | Q表=246902条 | 耗时=394.8s
[2500/10000] ε=0.6065 | P1胜率=45.5% | 平均步数=42.7 | Q表=268937条 | 耗时=485.9s
[3000/10000] ε=0.5488 | P1胜率=45.0% | 平均步数=35.0 | Q表=286988条 | 耗时=573.3s
[3500/10000] ε=0.4966 | P1胜率=44.3% | 平均步数=32.1 | Q表=302488条 | 耗时=655.3s
[4000/10000] ε=0.4493 | P1胜率=44.4% | 平均步数=29.8 | Q表=317284条 | 耗时=737.6s
[4500/10000] ε=0.4065 | P1胜率=45.2% | 平均步数=27.6 | Q表=330642条 | 耗时=817.1s
[5000/10000] ε=0.3678 | P1胜率=46.1% | 平均步数=26.3 | Q表=343039条 | 耗时=893.4s
[5500/10000] ε=0.3328 | P1胜率=46.4% | 平均步数=24.6 | Q表=354696条 | 耗时=967.9s
[6000/10000] ε=0.3012 | P1胜率=45.8% | 平均步数=22.5 | Q表=364967条 | 耗时=1036.5s
[6500/10000] ε=0.2725 | P1胜率=46.1% | 平均步数=23.6 | Q表=375720条 | 耗时=1107.6s
[7000/10000] ε=0.2466 | P1胜率=46.5% | 平均步数=21.6 | Q表=385805条 | 耗时=1175.4s
[7500/10000] ε=0.2231 | P1胜率=46.9% | 平均步数=21.0 | Q表=395586条 | 耗时=1242.6s
[8000/10000] ε=0.2019 | P1胜率=46.9% | 平均步数=20.1 | Q表=404877条 | 耗时=1305.4s
[8500/10000] ε=0.1827 | P1胜率=47.1% | 平均步数=21.0 | Q表=414119条 | 耗时=1369.2s
[9000/10000] ε=0.1653 | P1胜率=47.4% | 平均步数=20.0 | Q表=423099条 | 耗时=1429.9s
[9500/10000] ε=0.1495 | P1胜率=47.4% | 平均步数=19.7 | Q表=431848条 | 耗时=1489.9s
[10000/10000] ε=0.1353 | P1胜率=47.4% | 平均步数=18.9 | Q表=440352条 | 耗时=1549.2s
